iter	Passed	Remaining
0	1	164
1	2	111
2	2	90
3	3	76
4	3	70
5	4	66
6	4	63
7	5	60
8	5	58
9	6	56
10	6	55
11	7	53
12	7	52
13	8	51
14	8	50
15	9	49
16	9	48
17	10	47
18	10	46
19	11	46
20	12	45
21	12	44
22	13	43
23	13	43
24	14	42
25	14	42
26	15	41
27	15	41
28	16	40
29	17	39
30	17	39
31	18	38
32	18	38
33	19	37
34	19	36
35	20	36
36	21	35
37	21	35
38	22	34
39	22	34
40	23	33
41	23	32
42	24	32
43	24	31
44	25	30
45	25	30
46	26	29
47	27	29
48	27	28
49	28	28
50	28	27
51	29	27
52	29	26
53	30	25
54	30	25
55	31	24
56	31	24
57	32	23
58	32	22
59	33	22
60	34	21
61	34	21
62	35	20
63	35	20
64	36	19
65	36	19
66	37	18
67	38	17
68	38	17
69	39	16
70	39	16
71	40	15
72	40	15
73	41	14
74	41	13
75	42	13
76	42	12
77	43	12
78	44	11
79	44	11
80	45	10
81	45	10
82	46	9
83	46	8
84	47	8
85	47	7
86	48	7
87	48	6
88	49	6
89	50	5
90	50	5
91	51	4
92	51	3
93	52	3
94	53	2
95	53	2
96	54	1
97	54	1
98	55	0
99	55	0
